record_id,package_name,record_time,foreground_time_usage,last_time_use,downloaded_data,uploaded_data,avg_cpu_usage,max_cpu_usage,was_foreground,boot
112,com.itunestoppodcastplayer.app,1430729461231,0,0,4019985029,37481481,-1.0,-1,0,0
118,com.itunestoppodcastplayer.app,1430729521252,0,0,52,52,-1.0,-1,0,0
120,com.itunestoppodcastplayer.app,1430729581279,0,0,144,104,-1.0,-1,0,0
133,com.itunestoppodcastplayer.app,1430729701362,0,0,52,52,-1.0,-1,0,0
140,com.itunestoppodcastplayer.app,1430729761389,0,0,0,364,-1.0,-1,0,0
1170,com.itunestoppodcastplayer.app,1430751061064,0,0,2940395,114500,-1.0,-1,0,0
1174,com.itunestoppodcastplayer.app,1430751121088,0,0,23089304,345596,-1.0,-1,0,0
1178,com.itunestoppodcastplayer.app,1430751181103,0,0,6613176,80648,-1.0,-1,0,0
1181,com.itunestoppodcastplayer.app,1430751241144,0,0,258431,6252,-1.0,-1,0,0
1188,com.itunestoppodcastplayer.app,1430751361193,0,0,0,260,-1.0,-1,0,0
1201,com.itunestoppodcastplayer.app,1430751541423,0,0,0,52,-1.0,-1,0,0
1813,com.itunestoppodcastplayer.app,1430761801642,0,0,28448,2205,-1.0,-1,0,0
1816,com.itunestoppodcastplayer.app,1430761861657,0,0,36735797,418757,-1.0,-1,0,0
1818,com.itunestoppodcastplayer.app,1430761921886,0,0,36734084,398700,-1.0,-1,0,0
1820,com.itunestoppodcastplayer.app,1430761981698,0,0,37727436,388468,-1.0,-1,0,0
1824,com.itunestoppodcastplayer.app,1430762041716,0,0,45464244,438296,-1.0,-1,0,0
1827,com.itunestoppodcastplayer.app,1430762101736,0,0,9731894,84608,-1.0,-1,0,0
1829,com.itunestoppodcastplayer.app,1430762161777,0,0,0,104,-1.0,-1,0,0
1835,com.itunestoppodcastplayer.app,1430762281863,0,0,0,156,-1.0,-1,0,0
1840,com.itunestoppodcastplayer.app,1430762401944,0,0,0,52,-1.0,-1,0,0
2323,com.itunestoppodcastplayer.app,1430772721447,0,0,48984,3232,-1.0,-1,0,0
2326,com.itunestoppodcastplayer.app,1430772781486,0,0,783650,32027,-1.0,-1,0,0
2329,com.itunestoppodcastplayer.app,1430772841503,0,0,200423,7524,-1.0,-1,0,0
2332,com.itunestoppodcastplayer.app,1430772901520,0,0,104,64,-1.0,-1,0,0
2334,com.itunestoppodcastplayer.app,1430772961538,0,0,92,52,-1.0,-1,0,0
2337,com.itunestoppodcastplayer.app,1430773021577,0,0,156,180,-1.0,-1,0,0
2341,com.itunestoppodcastplayer.app,1430773081649,0,0,0,260,-1.0,-1,0,0
2344,com.itunestoppodcastplayer.app,1430773141687,0,0,0,52,-1.0,-1,0,0
2737,com.itunestoppodcastplayer.app,1430783521504,0,0,1018826,37234,-1.0,-1,0,0
2740,com.itunestoppodcastplayer.app,1430783581537,0,0,52,52,-1.0,-1,0,0
2743,com.itunestoppodcastplayer.app,1430783641582,0,0,196,116,-1.0,-1,0,0
2746,com.itunestoppodcastplayer.app,1430783761629,0,0,104,64,-1.0,-1,0,0
2749,com.itunestoppodcastplayer.app,1430783821673,0,0,0,364,-1.0,-1,0,0
3068,com.itunestoppodcastplayer.app,1430794381962,0,0,53400,3742,-1.0,-1,0,0
