record_id,package_name,record_time,foreground_time_usage,last_time_use,downloaded_data,uploaded_data,avg_cpu_usage,max_cpu_usage,was_foreground,boot
3,com.whatsapp,1430912259509,2584766,1430912021825,0,0,-1.0,-1,0,1
38,com.whatsapp,1430912401152,2584766,1430912021825,52,52,-1.0,-1,0,1
48,com.whatsapp,1430912461286,2612945,1430912435865,923,1009,-1.0,-1,1,1
59,com.whatsapp,1430912581588,2633464,1430912581588,447,596,-1.0,-1,1,1
66,com.whatsapp,1430912641999,2694039,1430912641999,1820,4953,-1.0,-1,1,0
77,com.whatsapp,1430912702584,2699886,1430912648431,2220,3174,-1.0,-1,1,0
92,com.whatsapp,1430912822569,2699886,1430912648431,143,137,-1.0,-1,0,0
94,com.whatsapp,1430912881606,2699886,1430912648431,114,230,-1.0,-1,0,0
99,com.whatsapp,1430912942854,2699886,1430912648431,52,52,-1.0,-1,0,0
117,com.whatsapp,1430913242197,2710100,1430913189631,1555,2796,-1.0,-1,1,0
127,com.whatsapp,1430913301412,2710100,1430913189631,1271,1494,-1.0,-1,0,0
134,com.whatsapp,1430917142652,2710100,1430913189631,5683,7001,-1.0,-1,0,0
172,com.whatsapp,1430917802361,3151502,1430917785586,1049,1234,-1.0,-1,1,0
191,com.whatsapp,1430917861378,3151502,1430917785586,829,816,-1.0,-1,0,0
197,com.whatsapp,1430917921665,3169971,1430917882669,623,814,-1.0,-1,1,0
203,com.whatsapp,1430917982006,3193021,1430917972744,693,731,-1.0,-1,1,0
211,com.whatsapp,1430918042236,3211187,1430918033395,658,850,-1.0,-1,1,0
220,com.whatsapp,1430918101524,3211187,1430918033395,4287,53946,-1.0,-1,0,0
221,com.whatsapp,1430918161519,3211187,1430918033395,5781,54283,-1.0,-1,0,0
223,com.whatsapp,1430918221619,3211187,1430918033395,2197,1734,-1.0,-1,0,0
226,com.whatsapp,1430918281892,3217652,1430918270905,4966,50253,-1.0,-1,1,0
240,com.whatsapp,1430918343096,3217652,1430918270905,75,116,-1.0,-1,0,0
245,com.whatsapp,1430918425359,3217652,1430918270905,3119,49141,-1.0,-1,0,0
248,com.whatsapp,1430918462499,3217652,1430918270905,250,138,-1.0,-1,0,0
254,com.whatsapp,1430918526101,3217652,1430918270905,4711,51483,-1.0,-1,0,0
259,com.whatsapp,1430918581780,3217652,1430918270905,563,507,-1.0,-1,0,0
264,com.whatsapp,1430918702639,3217652,1430918270905,3391,49055,-1.0,-1,0,0
268,com.whatsapp,1430918761877,3217652,1430918270905,3295,48861,-1.0,-1,0,0
276,com.whatsapp,1430918881973,3217652,1430918270905,5287,50709,-1.0,-1,0,0
281,com.whatsapp,1430918952210,3217652,1430918270905,762,1661,-1.0,-1,0,0
284,com.whatsapp,1430919005191,3225128,1430918993686,840,2286,-1.0,-1,1,0
293,com.whatsapp,1430919061269,3225128,1430918993686,280,762,-1.0,-1,0,0
302,com.whatsapp,1430919121404,3225128,1430918993686,560,1524,-1.0,-1,0,0
303,com.whatsapp,1430919182530,3225128,1430918993686,280,762,-1.0,-1,0,0
312,com.whatsapp,1430920501646,3595215,1430920501646,27680,31875,-1.0,-1,1,0
327,com.whatsapp,1430920561867,3655215,1430920561867,0,0,-1.0,-1,1,0
321,com.whatsapp,1430920621867,3715215,1430920621867,290,278,-1.0,-1,1,0
323,com.whatsapp,1430920681900,3775215,1430920681900,114,230,-1.0,-1,1,0
326,com.whatsapp,1430920741929,3835215,1430920741929,1312,1099,-1.0,-1,1,0
328,com.whatsapp,1430920802167,3494144,1430920401096,260,264,-1.0,-1,1,0
348,com.whatsapp,1430920981738,3494144,1430920401096,394,441,-1.0,-1,0,0
352,com.whatsapp,1430921102608,3494144,1430920401096,237,152,-1.0,-1,0,0
353,com.whatsapp,1430921231865,3543890,1430921231865,1488,2603,-1.0,-1,1,0
362,com.whatsapp,1430921282596,3582284,1430921260990,560,1524,-1.0,-1,1,0
370,com.whatsapp,1430921341515,3582284,1430921260990,4593,50844,-1.0,-1,0,0
376,com.whatsapp,1430921401811,3582284,1430921260990,1385,1107,-1.0,-1,0,0
385,com.whatsapp,1430921581854,3588217,1430921527144,122,181,-1.0,-1,1,0
403,com.whatsapp,1430921821495,3588217,1430921527144,4890,49721,-1.0,-1,0,0
407,com.whatsapp,1430921882250,3588217,1430921527144,114,230,-1.0,-1,0,0
410,com.whatsapp,1430921941482,3588217,1430921527144,1016,1008,-1.0,-1,0,0
412,com.whatsapp,1430922001810,3588217,1430921527144,162,156,-1.0,-1,0,0
420,com.whatsapp,1430922181789,3588217,1430921527144,3301,48653,-1.0,-1,0,0
424,com.whatsapp,1430922241863,3600757,1430922215812,1902,46976,-1.0,-1,1,0
434,com.whatsapp,1430922301861,3600757,1430922215812,3467,43831,-1.0,-1,0,0
441,com.whatsapp,1430922482422,3600757,1430922215812,207,255,-1.0,-1,0,0
449,com.whatsapp,1430922662300,3600757,1430922215812,1360,1239,-1.0,-1,0,0
469,com.whatsapp,1430922902783,3600757,1430922215812,70,129,-1.0,-1,0,0
476,com.whatsapp,1430923032565,3638855,1430923015319,1702,2818,-1.0,-1,1,0
489,com.whatsapp,1430923081597,3638855,1430923015319,560,1524,-1.0,-1,0,0
491,com.whatsapp,1430923142144,3688973,1430923142144,1795,2538,-1.0,-1,1,0
