record_id,package_name,record_time,foreground_time_usage,last_time_use,downloaded_data,uploaded_data,avg_cpu_usage,max_cpu_usage,was_foreground,boot
5,com.facebook.katana,1430984522004,204182,1430983503344,0,0,-1.0,-1,0,1
24,com.facebook.katana,1430984582199,204182,1430983503344,135,135,-1.0,-1,0,1
31,com.facebook.katana,1430984701285,204182,1430983503344,272,319,-1.0,-1,0,1
34,com.facebook.katana,1430984761296,204182,1430983503344,272,319,-1.0,-1,0,1
39,com.facebook.katana,1430984821314,204182,1430983503344,135,135,-1.0,-1,0,1
51,com.facebook.katana,1430985001379,258766,1430984996308,105766,19005,-1.0,-1,1,1
53,com.facebook.katana,1430985061453,258766,1430984996308,7562,7780,-1.0,-1,0,1
56,com.facebook.katana,1430985121571,258766,1430984996308,1603,1973,-1.0,-1,0,1
59,com.facebook.katana,1430985181618,258766,1430984996308,135,135,-1.0,-1,0,1
61,com.facebook.katana,1430985361271,258766,1430984996308,272,319,-1.0,-1,0,1
68,com.facebook.katana,1430985661480,258766,1430984996308,409,503,-1.0,-1,0,1
71,com.facebook.katana,1430985721513,299740,1430985708969,151349,26776,-1.0,-1,1,1
76,com.facebook.katana,1430985782191,299740,1430985708969,1201,1451,-1.0,-1,0,1
79,com.facebook.katana,1430985841235,299740,1430985708969,1354,1375,-1.0,-1,0,1
81,com.facebook.katana,1430986022194,299740,1430985708969,104,215,-1.0,-1,0,1
82,com.facebook.katana,1430986081252,299740,1430985708969,168,104,-1.0,-1,0,1
91,com.facebook.katana,1430986381484,299740,1430985708969,135,135,-1.0,-1,0,1
95,com.facebook.katana,1430986561273,299740,1430985708969,135,135,-1.0,-1,0,1
98,com.facebook.katana,1430986741430,299740,1430985708969,272,319,-1.0,-1,0,1
103,com.facebook.katana,1430986922217,299740,1430985708969,1307,1913,-1.0,-1,0,1
106,com.facebook.katana,1430987041344,299740,1430985708969,232,388,-1.0,-1,0,1
110,com.facebook.katana,1430987222203,299740,1430985708969,272,319,-1.0,-1,0,1
113,com.facebook.katana,1430987521510,299740,1430985708969,135,135,-1.0,-1,0,1
114,com.facebook.katana,1430987641629,299740,1430985708969,272,319,-1.0,-1,0,1
116,com.facebook.katana,1430987701685,299740,1430985708969,5853,8077,-1.0,-1,0,1
117,com.facebook.katana,1430987762215,299740,1430985708969,696,932,-1.0,-1,0,1
120,com.facebook.katana,1430988001492,299740,1430985708969,137,184,-1.0,-1,0,1
124,com.facebook.katana,1430988301455,299740,1430985708969,272,319,-1.0,-1,0,1
131,com.facebook.katana,1430988541774,299740,1430985708969,272,319,-1.0,-1,0,1
136,com.facebook.katana,1430988781974,299740,1430985708969,272,319,-1.0,-1,0,1
139,com.facebook.katana,1430988901278,299740,1430985708969,135,135,-1.0,-1,0,1
142,com.facebook.katana,1430988961355,299740,1430985708969,137,184,-1.0,-1,0,1
146,com.facebook.katana,1430989201430,299740,1430985708969,272,319,-1.0,-1,0,1
153,com.facebook.katana,1430989381624,299740,1430985708969,272,319,-1.0,-1,0,1
156,com.facebook.katana,1430989441705,299740,1430985708969,407,454,-1.0,-1,0,1
159,com.facebook.katana,1430989501727,299740,1430985708969,135,135,-1.0,-1,0,1
162,com.facebook.katana,1430989561889,299740,1430985708969,409,503,-1.0,-1,0,0
165,com.facebook.katana,1430989621993,299740,1430985708969,1119,2231,-1.0,-1,0,0
168,com.facebook.katana,1430989682100,299740,1430985708969,97,284,-1.0,-1,0,0
174,com.facebook.katana,1430989862396,299740,1430985708969,137,184,-1.0,-1,0,0
177,com.facebook.katana,1430989921622,299740,1430985708969,272,319,-1.0,-1,0,0
178,com.facebook.katana,1430990101891,299740,1430985708969,135,135,-1.0,-1,0,0
180,com.facebook.katana,1430990281652,299740,1430985708969,135,135,-1.0,-1,0,0
181,com.facebook.katana,1430990341716,299740,1430985708969,272,319,-1.0,-1,0,0
186,com.facebook.katana,1430990582398,299740,1430985708969,272,319,-1.0,-1,0,0
189,com.facebook.katana,1430990641396,299740,1430985708969,137,184,-1.0,-1,0,0
193,com.facebook.katana,1430991061654,299740,1430985708969,1828,12213,-1.0,-1,0,0
194,com.facebook.katana,1430991122046,299740,1430985708969,232,388,-1.0,-1,0,0
195,com.facebook.katana,1430991181418,299740,1430985708969,135,135,-1.0,-1,0,0
197,com.facebook.katana,1430991241398,299740,1430985708969,272,319,-1.0,-1,0,0
198,com.facebook.katana,1430991361649,299740,1430985708969,272,319,-1.0,-1,0,0
201,com.facebook.katana,1430991481808,299740,1430985708969,135,135,-1.0,-1,0,0
209,com.facebook.katana,1430991721239,299740,1430985708969,135,135,-1.0,-1,0,0
214,com.facebook.katana,1430991901412,299740,1430985708969,135,135,-1.0,-1,0,0
218,com.facebook.katana,1430992141465,299740,1430985708969,270,270,-1.0,-1,0,0
222,com.facebook.katana,1430992201610,299740,1430985708969,8247,8196,-1.0,-1,0,0
225,com.facebook.katana,1430992261711,299740,1430985708969,1089,856,-1.0,-1,0,0
229,com.facebook.katana,1430992322240,299740,1430985708969,135,135,-1.0,-1,0,0
232,com.facebook.katana,1430992381233,299740,1430985708969,83,135,-1.0,-1,0,0
235,com.facebook.katana,1430992441276,299740,1430985708969,137,184,-1.0,-1,0,0
237,com.facebook.katana,1430992501333,299740,1430985708969,272,319,-1.0,-1,0,0
239,com.facebook.katana,1430992621298,299740,1430985708969,135,135,-1.0,-1,0,0
244,com.facebook.katana,1430992801449,299740,1430985708969,0,498,-1.0,-1,0,0
254,com.facebook.katana,1430992861724,299740,1430985708969,4194,2717,-1.0,-1,0,0
257,com.facebook.katana,1430992921756,299740,1430985708969,828,2036,-1.0,-1,0,0
259,com.facebook.katana,1430992981844,299740,1430985708969,272,319,-1.0,-1,0,0
264,com.facebook.katana,1430993101294,299740,1430985708969,135,135,-1.0,-1,0,0
267,com.facebook.katana,1430993221419,299740,1430985708969,135,135,-1.0,-1,0,0
268,com.facebook.katana,1430993283021,299740,1430985708969,137,184,-1.0,-1,0,0
273,com.facebook.katana,1430993401271,299740,1430985708969,272,319,-1.0,-1,0,0
276,com.facebook.katana,1430993521329,299740,1430985708969,135,135,-1.0,-1,0,0
282,com.facebook.katana,1430993641420,299740,1430985708969,135,135,-1.0,-1,0,0
284,com.facebook.katana,1430993701474,299740,1430985708969,270,270,-1.0,-1,0,0
287,com.facebook.katana,1430993761489,299740,1430985708969,135,135,-1.0,-1,0,0
291,com.facebook.katana,1430993821568,299740,1430985708969,135,135,-1.0,-1,0,0
293,com.facebook.katana,1430993881591,299740,1430985708969,135,135,-1.0,-1,0,0
297,com.facebook.katana,1430993941639,299740,1430985708969,135,135,-1.0,-1,0,0
301,com.facebook.katana,1430994001695,299740,1430985708969,270,270,-1.0,-1,0,0
306,com.facebook.katana,1430994061771,299740,1430985708969,270,270,-1.0,-1,0,0
311,com.facebook.katana,1430994181390,299740,1430985708969,135,135,-1.0,-1,0,0
314,com.facebook.katana,1430994241404,299740,1430985708969,135,135,-1.0,-1,0,0
316,com.facebook.katana,1430994362255,299740,1430985708969,135,135,-1.0,-1,0,0
319,com.facebook.katana,1430994541259,299740,1430985708969,135,135,-1.0,-1,0,0
323,com.facebook.katana,1430994661384,299740,1430985708969,135,135,-1.0,-1,0,0
324,com.facebook.katana,1430994721403,299740,1430985708969,544,638,-1.0,-1,0,0
327,com.facebook.katana,1430994841274,299740,1430985708969,135,135,-1.0,-1,0,0
331,com.facebook.katana,1430994901303,299740,1430985708969,135,135,-1.0,-1,0,0
333,com.facebook.katana,1430994961373,299740,1430985708969,4066,4485,-1.0,-1,0,0
336,com.facebook.katana,1430995021409,299740,1430985708969,367,471,-1.0,-1,0,0
340,com.facebook.katana,1430995081466,299740,1430985708969,4702,2237,-1.0,-1,0,0
342,com.facebook.katana,1430995141495,299740,1430985708969,232,834,-1.0,-1,0,0
345,com.facebook.katana,1430995206653,299740,1430985708969,4710,3194,-1.0,-1,0,0
352,com.facebook.katana,1430995261692,299740,1430985708969,1219,1346,-1.0,-1,0,0
357,com.facebook.katana,1430995322286,299740,1430985708969,828,2036,-1.0,-1,0,0
363,com.facebook.katana,1430995501380,299740,1430985708969,135,135,-1.0,-1,0,0
371,com.facebook.katana,1430996221424,299740,1430985708969,272,319,-1.0,-1,0,0
379,com.facebook.katana,1430996521437,299740,1430985708969,407,454,-1.0,-1,0,0
385,com.facebook.katana,1430996761627,299740,1430985708969,137,712,-1.0,-1,0,0
390,com.facebook.katana,1430996822260,299740,1430985708969,1015,2254,-1.0,-1,0,0
391,com.facebook.katana,1430996941329,299740,1430985708969,137,166,-1.0,-1,0,0
403,com.facebook.katana,1430997481289,299740,1430985708969,4058,2184,-1.0,-1,0,0
408,com.facebook.katana,1430997661513,299740,1430985708969,411,487,-1.0,-1,0,0
418,com.facebook.katana,1430997841668,299740,1430985708969,137,184,-1.0,-1,0,0
420,com.facebook.katana,1430997901711,299740,1430985708969,272,319,-1.0,-1,0,0
435,com.facebook.katana,1430998322337,299740,1430985708969,135,135,-1.0,-1,0,0
438,com.facebook.katana,1430998381412,299740,1430985708969,272,319,-1.0,-1,0,0
442,com.facebook.katana,1430998561750,299740,1430985708969,272,319,-1.0,-1,0,0
446,com.facebook.katana,1430998682264,299740,1430985708969,135,135,-1.0,-1,0,0
450,com.facebook.katana,1430998744335,303355,1430998744335,150061,36756,-1.0,-1,1,0
455,com.facebook.katana,1430998801458,359674,1430998797777,2060510,158841,-1.0,-1,1,0
460,com.facebook.katana,1430998861605,359674,1430998797777,5215,9282,-1.0,-1,0,0
462,com.facebook.katana,1430998921728,404184,1430998921728,176903,84756,-1.0,-1,1,0
465,com.facebook.katana,1430998981732,464230,1430998981732,318091,34487,-1.0,-1,1,0
469,com.facebook.katana,1430999041778,464367,1430998981915,4398,7052,-1.0,-1,1,0
472,com.facebook.katana,1430999101779,464682,1430999067180,3601,5206,-1.0,-1,1,0
476,com.facebook.katana,1430999161802,487511,1430999142228,585124,48406,-1.0,-1,1,0
480,com.facebook.katana,1430999221818,495532,1430999221818,356034,31119,-1.0,-1,1,0
485,com.facebook.katana,1430999281862,509670,1430999236000,2697,4253,-1.0,-1,1,0
488,com.facebook.katana,1430999341908,509670,1430999236000,901,871,-1.0,-1,0,0
491,com.facebook.katana,1430999402283,509670,1430999236000,1319,1248,-1.0,-1,0,0
496,com.facebook.katana,1430999461325,509670,1430999236000,137,184,-1.0,-1,0,0
499,com.facebook.katana,1430999521333,513046,1430999521333,44871,5934,-1.0,-1,1,0
503,com.facebook.katana,1430999581394,515494,1430999523842,102871,15547,-1.0,-1,1,0
505,com.facebook.katana,1430999641441,515494,1430999523842,1604,1623,-1.0,-1,0,0
508,com.facebook.katana,1430999701488,515494,1430999523842,769,965,-1.0,-1,0,0
509,com.facebook.katana,1430999761510,515494,1430999523842,272,319,-1.0,-1,0,0
512,com.facebook.katana,1430999821529,568075,1430999821529,342842,41009,-1.0,-1,1,0
514,com.facebook.katana,1430999881623,591990,1430999845538,186167,26414,-1.0,-1,1,0
517,com.facebook.katana,1430999941644,591990,1430999845538,2622,3075,-1.0,-1,0,0
520,com.facebook.katana,1431000001626,591990,1430999845538,990,1123,-1.0,-1,0,0
522,com.facebook.katana,1431000301333,591990,1430999845538,135,135,-1.0,-1,0,0
526,com.facebook.katana,1431000601595,595911,1431000601595,29391,14668,-1.0,-1,1,0
531,com.facebook.katana,1431000661603,617456,1431000623148,45757,2635,-1.0,-1,1,0
533,com.facebook.katana,1431000722280,617456,1431000623148,2205,4887,-1.0,-1,0,0
534,com.facebook.katana,1431000781312,617456,1431000623148,855,988,-1.0,-1,0,0
536,com.facebook.katana,1431000841361,617456,1431000623148,232,388,-1.0,-1,0,0
538,com.facebook.katana,1431000901434,617456,1431000623148,137,184,-1.0,-1,0,0
545,com.facebook.katana,1431001321515,641157,1431001321436,59419,17312,-1.0,-1,1,0
549,com.facebook.katana,1431001381531,641157,1431001321436,2221,3422,-1.0,-1,0,0
552,com.facebook.katana,1431001442273,641157,1431001321436,575,575,-1.0,-1,0,0
556,com.facebook.katana,1431001501302,641157,1431001321436,739,721,-1.0,-1,0,0
560,com.facebook.katana,1431001621525,641157,1431001321436,542,589,-1.0,-1,0,0
565,com.facebook.katana,1431001741725,662746,1431001721732,111134,27581,-1.0,-1,1,0
569,com.facebook.katana,1431001802299,662746,1431001721732,3006,3238,-1.0,-1,0,0
570,com.facebook.katana,1431001861369,663675,1431001819534,4376,6499,-1.0,-1,1,0
574,com.facebook.katana,1431001921404,663675,1431001819534,632,718,-1.0,-1,0,0
575,com.facebook.katana,1431001982286,663675,1431001819534,745,1005,-1.0,-1,0,0
578,com.facebook.katana,1431002341545,668626,1431002341545,124384,20473,-1.0,-1,1,0
581,com.facebook.katana,1431002401622,700691,1431002373687,99143,16530,-1.0,-1,1,0
585,com.facebook.katana,1431002461657,700691,1431002373687,1869,2387,-1.0,-1,0,0
586,com.facebook.katana,1431002522290,700691,1431002373687,901,825,-1.0,-1,0,0
591,com.facebook.katana,1431002941711,700691,1431002373687,409,503,-1.0,-1,0,0
593,com.facebook.katana,1431003002289,700691,1431002373687,1306,1913,-1.0,-1,0,0
596,com.facebook.katana,1431003121412,700691,1431002373687,232,388,-1.0,-1,0,0
599,com.facebook.katana,1431003241574,724843,1431003230588,218869,23745,-1.0,-1,1,0
602,com.facebook.katana,1431003301650,724843,1431003230588,2418,3758,-1.0,-1,0,0
605,com.facebook.katana,1431003361722,724843,1431003230588,1594,1464,-1.0,-1,0,0
613,com.facebook.katana,1431003781571,724843,1431003230588,220,319,-1.0,-1,0,0
615,com.facebook.katana,1431003901678,724843,1431003230588,137,184,-1.0,-1,0,0
622,com.facebook.katana,1431004081848,725169,1431004036149,13896,9725,-1.0,-1,1,0
624,com.facebook.katana,1431004141871,725169,1431004036149,1237,1314,-1.0,-1,0,0
627,com.facebook.katana,1431004202306,725169,1431004036149,544,700,-1.0,-1,0,0
630,com.facebook.katana,1431004261362,725169,1431004036149,272,319,-1.0,-1,0,0
632,com.facebook.katana,1431004321388,725169,1431004036149,137,184,-1.0,-1,0,0
639,com.facebook.katana,1431004621596,725169,1431004036149,272,319,-1.0,-1,0,0
642,com.facebook.katana,1431004742308,725169,1431004036149,135,135,-1.0,-1,0,0
647,com.facebook.katana,1431005041399,725169,1431004036149,137,184,-1.0,-1,0,0
650,com.facebook.katana,1431005101634,725169,1431004036149,407,454,-1.0,-1,0,0
656,com.facebook.katana,1431005222685,729098,1431005191418,185550,30007,-1.0,-1,1,0
659,com.facebook.katana,1431005281681,729098,1431005191418,3298,4570,-1.0,-1,0,0
660,com.facebook.katana,1431005342326,729098,1431005191418,1280,1308,-1.0,-1,0,0
666,com.facebook.katana,1431005521461,732673,1431005475948,22756,20874,-1.0,-1,1,0
668,com.facebook.katana,1431005582410,732673,1431005475948,1499,1766,-1.0,-1,0,0
671,com.facebook.katana,1431005641457,732673,1431005475948,544,700,-1.0,-1,0,0
675,com.facebook.katana,1431005761380,732673,1431005475948,7729,7381,-1.0,-1,0,0
681,com.facebook.katana,1431005821370,732673,1431005475948,736,811,-1.0,-1,0,0
684,com.facebook.katana,1431005881389,732673,1431005475948,270,270,-1.0,-1,0,0
690,com.facebook.katana,1431006001468,732673,1431005475948,270,270,-1.0,-1,0,0
694,com.facebook.katana,1431006061493,788266,1431006061493,2359191,180589,-1.0,-1,1,0
699,com.facebook.katana,1431006121515,848266,1431006121515,171330,18207,-1.0,-1,1,0
701,com.facebook.katana,1431006181528,908266,1431006181528,51020,13337,-1.0,-1,1,0
702,com.facebook.katana,1431006241547,968266,1431006241547,387209,19187,-1.0,-1,1,0
704,com.facebook.katana,1431006301571,1028266,1431006301571,620736,19397,-1.0,-1,1,0
709,com.facebook.katana,1431006361714,1088266,1431006361714,52843,11755,-1.0,-1,1,0
710,com.facebook.katana,1431006421727,1148266,1431006421727,37503,11158,-1.0,-1,1,0
712,com.facebook.katana,1431006481731,1208266,1431006481731,31346,10419,-1.0,-1,1,0
713,com.facebook.katana,1431006541991,1266325,1431006540050,40598,8604,-1.0,-1,1,0
717,com.facebook.katana,1431006601998,1266325,1431006540050,1599,4545,-1.0,-1,0,0
719,com.facebook.katana,1431006662439,1266642,1431006629317,3160,5834,-1.0,-1,1,0
723,com.facebook.katana,1431006721474,1266642,1431006629317,728,966,-1.0,-1,0,0
724,com.facebook.katana,1431006781519,1266642,1431006629317,1080,856,-1.0,-1,0,0
729,com.facebook.katana,1431006961625,1271815,1431006961625,1354,2055,-1.0,-1,1,0
732,com.facebook.katana,1431007021648,1331815,1431007021648,29694,9489,-1.0,-1,1,0
736,com.facebook.katana,1431007081668,1391815,1431007081668,168898,14584,-1.0,-1,1,0
737,com.facebook.katana,1431007142333,1433396,1431007123914,1162,2872,-1.0,-1,1,0
740,com.facebook.katana,1431007201481,1433396,1431007123914,807,447,-1.0,-1,0,0
742,com.facebook.katana,1431007261658,1433396,1431007123914,2119,2997,-1.0,-1,0,0
744,com.facebook.katana,1431007321653,1433396,1431007123914,504,707,-1.0,-1,0,0
745,com.facebook.katana,1431007441261,1449209,1431007441261,177582,31372,-1.0,-1,1,0
749,com.facebook.katana,1431007501277,1477431,1431007469499,8927,6463,-1.0,-1,1,0
754,com.facebook.katana,1431007561476,1482239,1431007523147,4573,10207,-1.0,-1,1,0
758,com.facebook.katana,1431007621470,1483630,1431007609745,5417,7865,-1.0,-1,1,0
762,com.facebook.katana,1431007681531,1483630,1431007609745,984,1158,-1.0,-1,0,0
766,com.facebook.katana,1431007741563,1483630,1431007609745,1205,1122,-1.0,-1,0,0
777,com.facebook.katana,1431008041464,1483630,1431007609745,272,319,-1.0,-1,0,0
782,com.facebook.katana,1431008282329,1483630,1431007609745,137,184,-1.0,-1,0,0
788,com.facebook.katana,1431008461423,1486224,1431008416422,63995,16879,-1.0,-1,1,0
793,com.facebook.katana,1431008521473,1486224,1431008416422,1845,1827,-1.0,-1,0,0
800,com.facebook.katana,1431008581531,1486224,1431008416422,973,999,-1.0,-1,0,0
806,com.facebook.katana,1431008821483,1486224,1431008416422,272,319,-1.0,-1,0,0
819,com.facebook.katana,1431009361554,1486224,1431008416422,137,184,-1.0,-1,0,0
821,com.facebook.katana,1431009481669,1486224,1431008416422,135,135,-1.0,-1,0,0
830,com.facebook.katana,1431009781764,1486224,1431008416422,4336,4804,-1.0,-1,0,0
834,com.facebook.katana,1431009841784,1499466,1431009841784,136485,33830,-1.0,-1,1,0
836,com.facebook.katana,1431009901814,1555984,1431009901814,705027,49008,-1.0,-1,1,0
838,com.facebook.katana,1431009961821,1615984,1431009961821,375426,21151,-1.0,-1,1,0
839,com.facebook.katana,1431010021832,1675984,1431010021832,233270,31487,-1.0,-1,1,0
841,com.facebook.katana,1431010081915,1716426,1431010062357,4896,9308,-1.0,-1,1,0
844,com.facebook.katana,1431010142335,1716426,1431010062357,1556,2423,-1.0,-1,0,0
847,com.facebook.katana,1431010201377,1716426,1431010062357,810,965,-1.0,-1,0,0
857,com.facebook.katana,1431010862341,1716426,1431010062357,272,319,-1.0,-1,0,0
861,com.facebook.katana,1431011102343,1716426,1431010062357,272,319,-1.0,-1,0,0
864,com.facebook.katana,1431011161359,1716426,1431010062357,272,319,-1.0,-1,0,0
868,com.facebook.katana,1431011221378,1734659,1431011221378,171280,30582,-1.0,-1,1,0
871,com.facebook.katana,1431011281400,1794659,1431011281400,8685,7534,-1.0,-1,1,0
874,com.facebook.katana,1431011341631,1816769,1431011303741,2633,5417,-1.0,-1,1,0
878,com.facebook.katana,1431011401636,1816769,1431011303741,1080,1995,-1.0,-1,0,0
879,com.facebook.katana,1431011461712,1816769,1431011303741,934,1057,-1.0,-1,0,0
883,com.facebook.katana,1431011582344,1816769,1431011303741,272,319,-1.0,-1,0,0
885,com.facebook.katana,1431011701692,1825358,1431011672619,103663,17558,-1.0,-1,1,0
888,com.facebook.katana,1431011761668,1825358,1431011672619,3436,4876,-1.0,-1,0,0
890,com.facebook.katana,1431011822355,1825358,1431011672619,709,752,-1.0,-1,0,0
891,com.facebook.katana,1431011881399,1825358,1431011672619,360,400,-1.0,-1,0,0
894,com.facebook.katana,1431012001469,1825358,1431011672619,272,319,-1.0,-1,0,0
896,com.facebook.katana,1431012061593,1839170,1431012016960,142962,22596,-1.0,-1,1,0
899,com.facebook.katana,1431012122497,1839170,1431012016960,3089,5046,-1.0,-1,0,0
901,com.facebook.katana,1431012181557,1839170,1431012016960,1196,1458,-1.0,-1,0,0
908,com.facebook.katana,1431012481465,1839499,1431012457494,3842,5954,-1.0,-1,1,0
912,com.facebook.katana,1431012541556,1853084,1431012499984,89851,14072,-1.0,-1,1,0
916,com.facebook.katana,1431012601656,1853084,1431012499984,2094,2007,-1.0,-1,0,0
918,com.facebook.katana,1431012661673,1853084,1431012499984,970,936,-1.0,-1,0,0
924,com.facebook.katana,1431012901515,1853084,1431012499984,135,135,-1.0,-1,0,0
929,com.facebook.katana,1431013021627,1859427,1431012987481,5789,7835,-1.0,-1,1,0
933,com.facebook.katana,1431013081627,1859427,1431012987481,1352,2262,-1.0,-1,0,0
934,com.facebook.katana,1431013142358,1859427,1431012987481,1055,1192,-1.0,-1,0,0
936,com.facebook.katana,1431013201370,1887194,1431013201370,4666,6995,-1.0,-1,1,0
940,com.facebook.katana,1431013261448,1898348,1431013212602,2528,6103,-1.0,-1,1,0
943,com.facebook.katana,1431013321499,1898348,1431013212602,2106,4188,-1.0,-1,0,0
945,com.facebook.katana,1431013382355,1898348,1431013212602,852,868,-1.0,-1,0,0
946,com.facebook.katana,1431013441542,1898348,1431013212602,272,319,-1.0,-1,0,0
949,com.facebook.katana,1431013621676,1898348,1431013212602,135,135,-1.0,-1,0,0
951,com.facebook.katana,1431013682389,1902170,1431013677688,35926,19609,-1.0,-1,1,0
954,com.facebook.katana,1431013741444,1902170,1431013677688,3569,3859,-1.0,-1,0,0
956,com.facebook.katana,1431013801514,1902170,1431013677688,1560,1515,-1.0,-1,0,0
957,com.facebook.katana,1431013862357,1902170,1431013677688,592,788,-1.0,-1,0,0
960,com.facebook.katana,1431013981477,1902170,1431013677688,409,503,-1.0,-1,0,0
963,com.facebook.katana,1431014341516,1902170,1431013677688,407,454,-1.0,-1,0,0
966,com.facebook.katana,1431014641412,1927799,1431014641412,432434,34595,-1.0,-1,1,0
968,com.facebook.katana,1431014701457,1967323,1431014680981,63086,6090,-1.0,-1,1,0
971,com.facebook.katana,1431014762368,1967323,1431014680981,2368,5545,-1.0,-1,0,0
