record_id,package_name,record_time,foreground_time_usage,last_time_use,downloaded_data,uploaded_data,avg_cpu_usage,max_cpu_usage,was_foreground,boot
8,com.facebook.katana,1430754781642,493509,1430753788881,0,0,-1.0,-1,0,1
25,com.facebook.katana,1430754842007,511267,1430754827327,6956496,2966872,-1.0,-1,1,0
31,com.facebook.katana,1430754902170,511267,1430754827327,1737,1123,-1.0,-1,0,0
35,com.facebook.katana,1430754961070,511267,1430754827327,1011,1064,-1.0,-1,0,0
57,com.facebook.katana,1430755382013,520501,1430755382013,219327,22011,-1.0,-1,1,0
62,com.facebook.katana,1430755441934,580501,1430755441934,17452879,10057978,-1.0,-1,1,0
68,com.facebook.katana,1430755506836,632207,1430755498542,7863570,3744554,-1.0,-1,1,0
74,com.facebook.katana,1430755565021,632207,1430755498542,1228,3435,-1.0,-1,0,0
79,com.facebook.katana,1430755622042,632207,1430755498542,1411,856,-1.0,-1,0,0
86,com.facebook.katana,1430755682129,632207,1430755498542,5763,12668,-1.0,-1,0,0
96,com.facebook.katana,1430755801941,632207,1430755498542,168,319,-1.0,-1,0,0
105,com.facebook.katana,1430755922401,632207,1430755498542,166,402,-1.0,-1,0,0
114,com.facebook.katana,1430755981638,632207,1430755498542,253,371,-1.0,-1,0,0
120,com.facebook.katana,1430756041637,632207,1430755498542,83,135,-1.0,-1,0,0
130,com.facebook.katana,1430756161671,644394,1430756161671,10520283,6581749,-1.0,-1,1,0
134,com.facebook.katana,1430756222224,699290,1430756217120,5331454,2131111,-1.0,-1,1,0
140,com.facebook.katana,1430756294881,699290,1430756217120,2373,6617,-1.0,-1,0,0
148,com.facebook.katana,1430756341716,699290,1430756217120,1410,1039,-1.0,-1,0,0
155,com.facebook.katana,1430756401778,699290,1430756217120,83,135,-1.0,-1,0,0
157,com.facebook.katana,1430756462149,723513,1430756462149,10359,4834,-1.0,-1,1,0
161,com.facebook.katana,1430756521127,783513,1430756521127,1623059,303064,-1.0,-1,1,0
164,com.facebook.katana,1430756581112,843513,1430756581112,7792805,3820952,-1.0,-1,1,0
167,com.facebook.katana,1430756641164,903513,1430756641164,2841615,591498,-1.0,-1,1,0
172,com.facebook.katana,1430756704107,909532,1430756650126,3388743,2260050,-1.0,-1,1,0
177,com.facebook.katana,1430756761459,909532,1430756650126,1279,526,-1.0,-1,0,0
181,com.facebook.katana,1430756821698,909532,1430756650126,421,884,-1.0,-1,0,0
189,com.facebook.katana,1430756881679,909532,1430756650126,166,402,-1.0,-1,0,0
193,com.facebook.katana,1430756941640,909532,1430756650126,85,52,-1.0,-1,0,0
204,com.facebook.katana,1430757241743,909532,1430756650126,0,1193,-1.0,-1,0,0
209,com.facebook.katana,1430757301659,909532,1430756650126,4193,2591,-1.0,-1,0,0
222,com.facebook.katana,1430757481906,909532,1430756650126,135,135,-1.0,-1,0,0
227,com.facebook.katana,1430757541862,909532,1430756650126,135,135,-1.0,-1,0,0
235,com.facebook.katana,1430757781545,909532,1430756650126,137,184,-1.0,-1,0,0
247,com.facebook.katana,1430758322441,909532,1430756650126,0,332,-1.0,-1,0,0
249,com.facebook.katana,1430758381550,909532,1430756650126,3960,2342,-1.0,-1,0,0
252,com.facebook.katana,1430758442610,909532,1430756650126,135,135,-1.0,-1,0,0
259,com.facebook.katana,1430758801767,909532,1430756650126,0,541,-1.0,-1,0,0
264,com.facebook.katana,1430758861955,909532,1430756650126,3925,3105,-1.0,-1,0,0
271,com.facebook.katana,1430758922058,909532,1430756650126,135,135,-1.0,-1,0,0
278,com.facebook.katana,1430758982808,910947,1430758982808,396633,21716,-1.0,-1,1,0
284,com.facebook.katana,1430759041925,927468,1430758998446,7358049,3382172,-1.0,-1,1,0
289,com.facebook.katana,1430759101836,927468,1430758998446,470,239,-1.0,-1,0,0
295,com.facebook.katana,1430759163147,927468,1430758998446,681,884,-1.0,-1,0,0
302,com.facebook.katana,1430759221171,927468,1430758998446,135,135,-1.0,-1,0,0
313,com.facebook.katana,1430759341281,927468,1430758998446,409,503,-1.0,-1,0,0
318,com.facebook.katana,1430759401351,927468,1430758998446,137,184,-1.0,-1,0,0
323,com.facebook.katana,1430759461398,927468,1430758998446,137,166,-1.0,-1,0,0
329,com.facebook.katana,1430759641711,927468,1430758998446,411,487,-1.0,-1,0,0
333,com.facebook.katana,1430759701787,927468,1430758998446,137,184,-1.0,-1,0,0
336,com.facebook.katana,1430759761801,927468,1430758998446,137,166,-1.0,-1,0,0
343,com.facebook.katana,1430760061704,927468,1430758998446,359,883,-1.0,-1,0,0
349,com.facebook.katana,1430760124758,927468,1430758998446,405,405,-1.0,-1,0,0
355,com.facebook.katana,1430760182129,927468,1430758998446,135,135,-1.0,-1,0,0
361,com.facebook.katana,1430760241648,927468,1430758998446,135,135,-1.0,-1,0,0
366,com.facebook.katana,1430760301753,927468,1430758998446,405,405,-1.0,-1,0,0
374,com.facebook.katana,1430760422294,927468,1430758998446,409,503,-1.0,-1,0,0
381,com.facebook.katana,1430760481528,927468,1430758998446,135,135,-1.0,-1,0,0
396,com.facebook.katana,1430760602063,927468,1430758998446,409,503,-1.0,-1,0,0
403,com.facebook.katana,1430760725263,927468,1430758998446,270,270,-1.0,-1,0,0
408,com.facebook.katana,1430760781306,927468,1430758998446,270,270,-1.0,-1,0,0
