record_id,package_name,record_time,foreground_time_usage,last_time_use,downloaded_data_kb,uploaded_data_kb,was_foreground,boot
8,com.facebook.katana,2015-05-04 17:53:01,00:08:13,2015-05-04 17:36:28,0.0,0.0,0,1
25,com.facebook.katana,2015-05-04 17:54:02,00:08:31,2015-05-04 17:53:47,6793.453125,2897.3359375,1,0
31,com.facebook.katana,2015-05-04 17:55:02,00:08:31,2015-05-04 17:53:47,1.6962890625,1.0966796875,0,0
35,com.facebook.katana,2015-05-04 17:56:01,00:08:31,2015-05-04 17:53:47,0.9873046875,1.0390625,0,0
57,com.facebook.katana,2015-05-04 18:03:02,00:08:40,2015-05-04 18:03:02,214.1865234375,21.4951171875,1,0
62,com.facebook.katana,2015-05-04 18:04:01,00:09:40,2015-05-04 18:04:01,17043.8271484375,9822.244140625,1,0
68,com.facebook.katana,2015-05-04 18:05:06,00:10:32,2015-05-04 18:04:58,7679.267578125,3656.791015625,1,0
74,com.facebook.katana,2015-05-04 18:06:05,00:10:32,2015-05-04 18:04:58,1.19921875,3.3544921875,0,0
79,com.facebook.katana,2015-05-04 18:07:02,00:10:32,2015-05-04 18:04:58,1.3779296875,0.8359375,0,0
86,com.facebook.katana,2015-05-04 18:08:02,00:10:32,2015-05-04 18:04:58,5.6279296875,12.37109375,0,0
96,com.facebook.katana,2015-05-04 18:10:01,00:10:32,2015-05-04 18:04:58,0.1640625,0.3115234375,0,0
105,com.facebook.katana,2015-05-04 18:12:02,00:10:32,2015-05-04 18:04:58,0.162109375,0.392578125,0,0
114,com.facebook.katana,2015-05-04 18:13:01,00:10:32,2015-05-04 18:04:58,0.2470703125,0.3623046875,0,0
120,com.facebook.katana,2015-05-04 18:14:01,00:10:32,2015-05-04 18:04:58,0.0810546875,0.1318359375,0,0
130,com.facebook.katana,2015-05-04 18:16:01,00:10:44,2015-05-04 18:16:01,10273.7138671875,6427.4892578125,1,0
134,com.facebook.katana,2015-05-04 18:17:02,00:11:39,2015-05-04 18:16:57,5206.498046875,2081.1630859375,1,0
140,com.facebook.katana,2015-05-04 18:18:14,00:11:39,2015-05-04 18:16:57,2.3173828125,6.4619140625,0,0
148,com.facebook.katana,2015-05-04 18:19:01,00:11:39,2015-05-04 18:16:57,1.376953125,1.0146484375,0,0
155,com.facebook.katana,2015-05-04 18:20:01,00:11:39,2015-05-04 18:16:57,0.0810546875,0.1318359375,0,0
157,com.facebook.katana,2015-05-04 18:21:02,00:12:03,2015-05-04 18:21:02,10.1162109375,4.720703125,1,0
161,com.facebook.katana,2015-05-04 18:22:01,00:13:03,2015-05-04 18:22:01,1585.0185546875,295.9609375,1,0
164,com.facebook.katana,2015-05-04 18:23:01,00:14:03,2015-05-04 18:23:01,7610.1611328125,3731.3984375,1,0
167,com.facebook.katana,2015-05-04 18:24:01,00:15:03,2015-05-04 18:24:01,2775.0146484375,577.634765625,1,0
172,com.facebook.katana,2015-05-04 18:25:04,00:15:09,2015-05-04 18:24:10,3309.3193359375,2207.080078125,1,0
177,com.facebook.katana,2015-05-04 18:26:01,00:15:09,2015-05-04 18:24:10,1.2490234375,0.513671875,0,0
181,com.facebook.katana,2015-05-04 18:27:01,00:15:09,2015-05-04 18:24:10,0.4111328125,0.86328125,0,0
189,com.facebook.katana,2015-05-04 18:28:01,00:15:09,2015-05-04 18:24:10,0.162109375,0.392578125,0,0
193,com.facebook.katana,2015-05-04 18:29:01,00:15:09,2015-05-04 18:24:10,0.0830078125,0.05078125,0,0
204,com.facebook.katana,2015-05-04 18:34:01,00:15:09,2015-05-04 18:24:10,0.0,1.1650390625,0,0
209,com.facebook.katana,2015-05-04 18:35:01,00:15:09,2015-05-04 18:24:10,4.0947265625,2.5302734375,0,0
222,com.facebook.katana,2015-05-04 18:38:01,00:15:09,2015-05-04 18:24:10,0.1318359375,0.1318359375,0,0
227,com.facebook.katana,2015-05-04 18:39:01,00:15:09,2015-05-04 18:24:10,0.1318359375,0.1318359375,0,0
