record_id,package_name,record_time,foreground_time_usage,last_time_use,downloaded_data,uploaded_data,avg_cpu_usage,max_cpu_usage,was_foreground,boot
20,com.kitkatandroid.keyboard,1430754781642,0,0,0,0,-1.0,-1,0,1
33,com.kitkatandroid.keyboard,1430754902170,0,0,22251,4618,-1.0,-1,0,0
36,com.kitkatandroid.keyboard,1430754961070,0,0,104,168,-1.0,-1,0,0
117,com.kitkatandroid.keyboard,1430755981638,0,0,27107,8836,-1.0,-1,0,0
124,com.kitkatandroid.keyboard,1430756041637,0,0,104,288,-1.0,-1,0,0
224,com.kitkatandroid.keyboard,1430757481906,0,0,45143,26155,-1.0,-1,0,0
228,com.kitkatandroid.keyboard,1430757541862,0,0,545,3468,-1.0,-1,0,0
230,com.kitkatandroid.keyboard,1430757602554,0,0,0,144,-1.0,-1,0,0
351,com.kitkatandroid.keyboard,1430760124758,0,0,28610,8848,-1.0,-1,0,0
357,com.kitkatandroid.keyboard,1430760182129,0,0,104,208,-1.0,-1,0,0
411,com.kitkatandroid.keyboard,1430760781306,0,0,73049,18180,-1.0,-1,0,0
417,com.kitkatandroid.keyboard,1430760841454,0,0,104,288,-1.0,-1,0,0
451,com.kitkatandroid.keyboard,1430761321689,0,0,45366,9248,-1.0,-1,0,0
466,com.kitkatandroid.keyboard,1430761501810,0,0,73487,35059,-1.0,-1,0,0
469,com.kitkatandroid.keyboard,1430761562119,0,0,600,504,-1.0,-1,0,0
475,com.kitkatandroid.keyboard,1430761621093,0,0,337,3380,-1.0,-1,0,0
487,com.kitkatandroid.keyboard,1430761743810,0,0,0,40,-1.0,-1,0,0
527,com.kitkatandroid.keyboard,1430762221875,0,0,10595,8156,-1.0,-1,0,0
531,com.kitkatandroid.keyboard,1430762281867,0,0,20528,640,-1.0,-1,0,0
535,com.kitkatandroid.keyboard,1430762341904,0,0,208,284,-1.0,-1,0,0
554,com.kitkatandroid.keyboard,1430762581549,0,0,43694,8988,-1.0,-1,0,0
561,com.kitkatandroid.keyboard,1430762641688,0,0,276,316,-1.0,-1,0,0
575,com.kitkatandroid.keyboard,1430762762244,0,0,44807,9476,-1.0,-1,0,0
580,com.kitkatandroid.keyboard,1430762821444,0,0,104,208,-1.0,-1,0,0
701,com.kitkatandroid.keyboard,1430765161586,0,0,133798,44887,-1.0,-1,0,0
703,com.kitkatandroid.keyboard,1430765221691,0,0,493,3404,-1.0,-1,0,0
710,com.kitkatandroid.keyboard,1430765282853,0,0,0,104,-1.0,-1,0,0
804,com.kitkatandroid.keyboard,1430767202820,0,0,92000,18764,-1.0,-1,0,0
808,com.kitkatandroid.keyboard,1430767261720,0,0,208,284,-1.0,-1,0,0
822,com.kitkatandroid.keyboard,1430767381259,0,0,0,40,-1.0,-1,0,0
843,com.kitkatandroid.keyboard,1430767621979,0,0,44490,9264,-1.0,-1,0,0
848,com.kitkatandroid.keyboard,1430767682020,0,0,104,208,-1.0,-1,0,0
869,com.kitkatandroid.keyboard,1430767921764,0,0,43614,9156,-1.0,-1,0,0
874,com.kitkatandroid.keyboard,1430767982049,0,0,44849,9328,-1.0,-1,0,0
881,com.kitkatandroid.keyboard,1430768042141,0,0,172,304,-1.0,-1,0,0
885,com.kitkatandroid.keyboard,1430768101100,0,0,0,52,-1.0,-1,0,0
910,com.kitkatandroid.keyboard,1430768402648,0,0,80578,44726,-1.0,-1,0,0
915,com.kitkatandroid.keyboard,1430768461783,0,0,6168,8275,-1.0,-1,0,0
919,com.kitkatandroid.keyboard,1430768522686,0,0,52,104,-1.0,-1,0,0
923,com.kitkatandroid.keyboard,1430768581795,0,0,389,2211,-1.0,-1,0,0
966,com.kitkatandroid.keyboard,1430769481759,0,0,0,40,-1.0,-1,0,0
1117,com.kitkatandroid.keyboard,1430776224710,0,0,91090,18332,-1.0,-1,0,0
1120,com.kitkatandroid.keyboard,1430776262694,0,0,80,80,-1.0,-1,0,0
1121,com.kitkatandroid.keyboard,1430776321703,0,0,156,220,-1.0,-1,0,0
1696,com.kitkatandroid.keyboard,1430804102942,0,0,188998,58921,-1.0,-1,0,0
1702,com.kitkatandroid.keyboard,1430804162360,0,0,22377,3549,-1.0,-1,0,0
1705,com.kitkatandroid.keyboard,1430804221333,0,0,493,3743,-1.0,-1,0,0
1717,com.kitkatandroid.keyboard,1430804342652,0,0,70025,16570,-1.0,-1,0,0
1725,com.kitkatandroid.keyboard,1430804401967,0,0,637,3991,-1.0,-1,0,0
1732,com.kitkatandroid.keyboard,1430804462085,0,0,24405,7124,-1.0,-1,0,0
1737,com.kitkatandroid.keyboard,1430804522037,0,0,156,128,-1.0,-1,0,0
1744,com.kitkatandroid.keyboard,1430804581309,0,0,47986,9842,-1.0,-1,0,0
1768,com.kitkatandroid.keyboard,1430804941984,0,0,46200,9670,-1.0,-1,0,0
1873,com.kitkatandroid.keyboard,1430808723035,0,0,140444,29186,-1.0,-1,0,0
1883,com.kitkatandroid.keyboard,1430808842083,0,0,45897,26656,-1.0,-1,0,0
1888,com.kitkatandroid.keyboard,1430808901822,0,0,0,52,-1.0,-1,0,0
1890,com.kitkatandroid.keyboard,1430808962015,0,0,441,3300,-1.0,-1,0,0
1903,com.kitkatandroid.keyboard,1430809141730,0,0,0,40,-1.0,-1,0,0
2000,com.kitkatandroid.keyboard,1430811602347,0,0,46494,9674,-1.0,-1,0,0
2004,com.kitkatandroid.keyboard,1430811661755,0,0,0,104,-1.0,-1,0,0
2083,com.kitkatandroid.keyboard,1430814721461,0,0,0,92,-1.0,-1,0,0
2173,com.kitkatandroid.keyboard,1430817962250,0,0,47857,9750,-1.0,-1,0,0
2179,com.kitkatandroid.keyboard,1430818022065,0,0,0,52,-1.0,-1,0,0
2191,com.kitkatandroid.keyboard,1430818201413,0,0,0,40,-1.0,-1,0,0
2217,com.kitkatandroid.keyboard,1430818562194,0,0,46892,9690,-1.0,-1,0,0
2223,com.kitkatandroid.keyboard,1430818625159,0,0,0,144,-1.0,-1,0,0
2235,com.kitkatandroid.keyboard,1430818741723,0,0,47250,9802,-1.0,-1,0,0
2248,com.kitkatandroid.keyboard,1430818921435,0,0,46960,9922,-1.0,-1,0,0
2254,com.kitkatandroid.keyboard,1430818981982,0,0,0,40,-1.0,-1,0,0
2286,com.kitkatandroid.keyboard,1430819462489,0,0,45159,26276,-1.0,-1,0,0
2291,com.kitkatandroid.keyboard,1430819521718,0,0,44837,9726,-1.0,-1,0,0
2298,com.kitkatandroid.keyboard,1430819582000,0,0,729,6688,-1.0,-1,0,0
2304,com.kitkatandroid.keyboard,1430819642278,0,0,0,40,-1.0,-1,0,0
2311,com.kitkatandroid.keyboard,1430819701328,0,0,22570,4793,-1.0,-1,0,0
2314,com.kitkatandroid.keyboard,1430819761265,0,0,0,92,-1.0,-1,0,0
2354,com.kitkatandroid.keyboard,1430820302059,0,0,44199,9465,-1.0,-1,0,0
2358,com.kitkatandroid.keyboard,1430820361982,0,0,104,208,-1.0,-1,0,0
2366,com.kitkatandroid.keyboard,1430820422506,0,0,0,80,-1.0,-1,0,0
2384,com.kitkatandroid.keyboard,1430820601536,0,0,45806,9196,-1.0,-1,0,0
2386,com.kitkatandroid.keyboard,1430820661831,0,0,104,300,-1.0,-1,0,0
2441,com.kitkatandroid.keyboard,1430821925451,0,0,89488,18596,-1.0,-1,0,0
2445,com.kitkatandroid.keyboard,1430821981568,0,0,52,92,-1.0,-1,0,0
2449,com.kitkatandroid.keyboard,1430822041534,0,0,0,52,-1.0,-1,0,0
2560,com.kitkatandroid.keyboard,1430823481653,0,0,45527,26119,-1.0,-1,0,0
2567,com.kitkatandroid.keyboard,1430823541738,0,0,224,408,-1.0,-1,0,0
2610,com.kitkatandroid.keyboard,1430823981830,0,0,68839,21213,-1.0,-1,0,0
2645,com.kitkatandroid.keyboard,1430824321569,0,0,89374,18370,-1.0,-1,0,0
2688,com.kitkatandroid.keyboard,1430824921686,0,0,91232,19760,-1.0,-1,0,0
2784,com.kitkatandroid.keyboard,1430826422536,0,0,222603,74290,-1.0,-1,0,0
2815,com.kitkatandroid.keyboard,1430826782136,0,0,52551,10670,-1.0,-1,0,0
2825,com.kitkatandroid.keyboard,1430826901488,0,0,22532,4781,-1.0,-1,0,0
2828,com.kitkatandroid.keyboard,1430826961482,0,0,0,52,-1.0,-1,0,0
2837,com.kitkatandroid.keyboard,1430827084106,0,0,67273,14731,-1.0,-1,0,0
2840,com.kitkatandroid.keyboard,1430827142058,0,0,144,156,-1.0,-1,0,0
2911,com.kitkatandroid.keyboard,1430830442006,0,0,23954,21947,-1.0,-1,0,0
2919,com.kitkatandroid.keyboard,1430830561981,0,0,389,1564,-1.0,-1,0,0
2989,com.kitkatandroid.keyboard,1430832962213,0,0,68914,14635,-1.0,-1,0,0
3092,com.kitkatandroid.keyboard,1430836141140,0,0,846,1444,-1.0,-1,0,0
3100,com.kitkatandroid.keyboard,1430836201144,0,0,35286,8126,-1.0,-1,0,0
3186,com.kitkatandroid.keyboard,1430838182902,0,0,43994,9272,-1.0,-1,0,0
3219,com.kitkatandroid.keyboard,1430838680899,0,0,45378,9714,-1.0,-1,0,0
3224,com.kitkatandroid.keyboard,1430838721955,0,0,80,288,-1.0,-1,0,0
3234,com.kitkatandroid.keyboard,1430838842011,0,0,5837,4449,-1.0,-1,0,0
3239,com.kitkatandroid.keyboard,1430838902005,0,0,0,52,-1.0,-1,0,0
3252,com.kitkatandroid.keyboard,1430839021136,0,0,0,40,-1.0,-1,0,0
3270,com.kitkatandroid.keyboard,1430839201546,0,0,46893,26864,-1.0,-1,0,0
3276,com.kitkatandroid.keyboard,1430839262111,0,0,0,248,-1.0,-1,0,0
3278,com.kitkatandroid.keyboard,1430839321261,0,0,6168,7529,-1.0,-1,0,0
3284,com.kitkatandroid.keyboard,1430839445915,0,0,389,2159,-1.0,-1,0,0
3331,com.kitkatandroid.keyboard,1430840461753,0,0,43682,9774,-1.0,-1,0,0
3343,com.kitkatandroid.keyboard,1430840772567,0,0,0,92,-1.0,-1,0,0
3486,com.kitkatandroid.keyboard,1430843281698,0,0,29102,9190,-1.0,-1,0,0
3490,com.kitkatandroid.keyboard,1430843343583,0,0,0,92,-1.0,-1,0,0
3525,com.kitkatandroid.keyboard,1430843941578,0,0,44847,9778,-1.0,-1,0,0
3538,com.kitkatandroid.keyboard,1430844301652,0,0,0,40,-1.0,-1,0,0
3551,com.kitkatandroid.keyboard,1430844542413,0,0,6167,5585,-1.0,-1,0,0
3556,com.kitkatandroid.keyboard,1430844601585,0,0,39220,4125,-1.0,-1,0,0
3568,com.kitkatandroid.keyboard,1430844781556,0,0,45346,9374,-1.0,-1,0,0
3573,com.kitkatandroid.keyboard,1430844841548,0,0,184,340,-1.0,-1,0,0
3617,com.kitkatandroid.keyboard,1430845381684,0,0,23482,23321,-1.0,-1,0,0
3626,com.kitkatandroid.keyboard,1430845501861,0,0,389,1656,-1.0,-1,0,0
3632,com.kitkatandroid.keyboard,1430845561932,0,0,22379,4825,-1.0,-1,0,0
3637,com.kitkatandroid.keyboard,1430845621923,0,0,0,52,-1.0,-1,0,0
3660,com.kitkatandroid.keyboard,1430845922120,0,0,46479,9934,-1.0,-1,0,0
3724,com.kitkatandroid.keyboard,1430848441204,0,0,45717,9750,-1.0,-1,0,0
3732,com.kitkatandroid.keyboard,1430848514159,0,0,0,40,-1.0,-1,0,0
3770,com.kitkatandroid.keyboard,1430849161877,0,0,29325,9338,-1.0,-1,0,0
3796,com.kitkatandroid.keyboard,1430849581512,0,0,28623,8840,-1.0,-1,0,0
3802,com.kitkatandroid.keyboard,1430849641550,0,0,52,196,-1.0,-1,0,0
3835,com.kitkatandroid.keyboard,1430850121761,0,0,11805,25275,-1.0,-1,0,0
3840,com.kitkatandroid.keyboard,1430850182020,0,0,545,1964,-1.0,-1,0,0
3847,com.kitkatandroid.keyboard,1430850302091,0,0,22592,4536,-1.0,-1,0,0
3852,com.kitkatandroid.keyboard,1430850361110,0,0,144,236,-1.0,-1,0,0
3854,com.kitkatandroid.keyboard,1430850421084,0,0,0,52,-1.0,-1,0,0
3863,com.kitkatandroid.keyboard,1430850661321,0,0,27707,8636,-1.0,-1,0,0
3868,com.kitkatandroid.keyboard,1430850721251,0,0,288,312,-1.0,-1,0,0
3871,com.kitkatandroid.keyboard,1430850781267,0,0,0,184,-1.0,-1,0,0
3896,com.kitkatandroid.keyboard,1430851201807,0,0,72967,17920,-1.0,-1,0,0
3903,com.kitkatandroid.keyboard,1430851261860,0,0,288,404,-1.0,-1,0,0
3909,com.kitkatandroid.keyboard,1430851323584,0,0,0,52,-1.0,-1,0,0
3915,com.kitkatandroid.keyboard,1430851386955,0,0,0,40,-1.0,-1,0,0
4033,com.kitkatandroid.keyboard,1430853961773,0,0,44688,9248,-1.0,-1,0,0
4099,com.kitkatandroid.keyboard,1430855401229,0,0,44533,26399,-1.0,-1,0,0
4115,com.kitkatandroid.keyboard,1430855581676,0,0,33201,20067,-1.0,-1,0,0
4410,com.kitkatandroid.keyboard,1430867064056,0,0,50044,13408,-1.0,-1,0,0
4412,com.kitkatandroid.keyboard,1430867102522,0,0,17858,612,-1.0,-1,0,0
4420,com.kitkatandroid.keyboard,1430867197056,0,0,44849,9424,-1.0,-1,0,0
4425,com.kitkatandroid.keyboard,1430867282244,0,0,208,232,-1.0,-1,0,0
4429,com.kitkatandroid.keyboard,1430867342214,0,0,0,104,-1.0,-1,0,0
4473,com.kitkatandroid.keyboard,1430870401260,0,0,0,92,-1.0,-1,0,0
4794,com.kitkatandroid.keyboard,1430889481711,0,0,44953,9613,-1.0,-1,0,0
4801,com.kitkatandroid.keyboard,1430889541669,0,0,104,300,-1.0,-1,0,0
4821,com.kitkatandroid.keyboard,1430889782290,0,0,22688,4708,-1.0,-1,0,0
4826,com.kitkatandroid.keyboard,1430889841338,0,0,52,104,-1.0,-1,0,0
4902,com.kitkatandroid.keyboard,1430890807545,0,0,5714,5481,-1.0,-1,0,0
4910,com.kitkatandroid.keyboard,1430890861587,0,0,40042,4201,-1.0,-1,0,0
4917,com.kitkatandroid.keyboard,1430890923685,0,0,23570,25601,-1.0,-1,0,0
4926,com.kitkatandroid.keyboard,1430890981639,0,0,21936,1416,-1.0,-1,0,0
4931,com.kitkatandroid.keyboard,1430891041808,0,0,390,3248,-1.0,-1,0,0
4956,com.kitkatandroid.keyboard,1430891281263,0,0,161515,42097,-1.0,-1,0,0
4961,com.kitkatandroid.keyboard,1430891341387,0,0,637,5475,-1.0,-1,0,0
4984,com.kitkatandroid.keyboard,1430891646171,0,0,45633,9710,-1.0,-1,0,0
4989,com.kitkatandroid.keyboard,1430891701149,0,0,80,184,-1.0,-1,0,0
5130,com.kitkatandroid.keyboard,1430897822459,0,0,66938,15102,-1.0,-1,0,0
5169,com.kitkatandroid.keyboard,1430898601893,0,0,45559,9204,-1.0,-1,0,0
5172,com.kitkatandroid.keyboard,1430898662561,0,0,104,104,-1.0,-1,0,0
5179,com.kitkatandroid.keyboard,1430898842035,0,0,0,144,-1.0,-1,0,0
5272,com.kitkatandroid.keyboard,1430900893855,0,0,46269,9112,-1.0,-1,0,0
5276,com.kitkatandroid.keyboard,1430900941887,0,0,132,184,-1.0,-1,0,0
5280,com.kitkatandroid.keyboard,1430901005408,0,0,104,208,-1.0,-1,0,0
5292,com.kitkatandroid.keyboard,1430901241603,0,0,42394,26003,-1.0,-1,0,0
5298,com.kitkatandroid.keyboard,1430901301727,0,0,5017,568,-1.0,-1,0,0
5306,com.kitkatandroid.keyboard,1430901361878,0,0,22704,6244,-1.0,-1,0,0
5374,com.kitkatandroid.keyboard,1430902504005,0,0,46362,13950,-1.0,-1,0,0
5378,com.kitkatandroid.keyboard,1430902562126,0,0,52,52,-1.0,-1,0,0
5382,com.kitkatandroid.keyboard,1430902621314,0,0,0,52,-1.0,-1,0,0
5453,com.kitkatandroid.keyboard,1430904302210,0,0,46392,9404,-1.0,-1,0,0
5457,com.kitkatandroid.keyboard,1430904361208,0,0,104,208,-1.0,-1,0,0
5588,com.kitkatandroid.keyboard,1430935681215,0,0,46744,27633,-1.0,-1,1,0
5591,com.kitkatandroid.keyboard,1430935741279,0,0,156,260,-1.0,-1,0,0
5594,com.kitkatandroid.keyboard,1430935801347,0,0,337,3288,-1.0,-1,0,0
5679,com.kitkatandroid.keyboard,1430937661496,0,0,44232,9254,-1.0,-1,0,0
5682,com.kitkatandroid.keyboard,1430937721558,0,0,156,272,-1.0,-1,0,0
5708,com.kitkatandroid.keyboard,1430938321404,0,0,0,80,-1.0,-1,0,0
5725,com.kitkatandroid.keyboard,1430938460022,0,0,46917,9194,-1.0,-1,0,0
5728,com.kitkatandroid.keyboard,1430938501986,0,0,104,104,-1.0,-1,0,0
5736,com.kitkatandroid.keyboard,1430938562048,0,0,0,104,-1.0,-1,0,0
5803,com.kitkatandroid.keyboard,1430939581841,0,0,66498,13887,-1.0,-1,0,0
5808,com.kitkatandroid.keyboard,1430939641840,0,0,92,184,-1.0,-1,0,0
5813,com.kitkatandroid.keyboard,1430939701923,0,0,0,52,-1.0,-1,0,0
5828,com.kitkatandroid.keyboard,1430939822227,0,0,43376,8986,-1.0,-1,0,0
5836,com.kitkatandroid.keyboard,1430939881301,0,0,69553,31334,-1.0,-1,0,0
5843,com.kitkatandroid.keyboard,1430939941546,0,0,22261,7917,-1.0,-1,0,0
5899,com.kitkatandroid.keyboard,1430941681599,0,0,46011,11585,-1.0,-1,0,0
5923,com.kitkatandroid.keyboard,1430941921731,0,0,44216,9346,-1.0,-1,0,0
5930,com.kitkatandroid.keyboard,1430941981858,0,0,144,236,-1.0,-1,0,0
5936,com.kitkatandroid.keyboard,1430942041828,0,0,0,52,-1.0,-1,0,0
