record_id,package_name,record_time,foreground_time_usage,last_time_use,downloaded_data_kb,uploaded_data_kb,was_foreground,boot
1,com.google.android.googlequicksearchbox,2015-05-04 11:59:01,00:06:17,2015-05-04 11:58:45,0.0,0.0,0,1
2,com.whatsapp,2015-05-04 11:59:01,00:13:39,2015-05-04 11:55:42,0.0771484375,0.2138671875,0,1
3,com.android.vending,2015-05-04 11:59:01,00:00:00,2015-05-04 08:10:21,0.0,0.0,0,1
4,com.google.android.gm,2015-05-04 11:59:01,00:00:57,2015-05-04 11:58:42,3471.03125,170.3896484375,0,1
5,com.supercell.clashofclans,2015-05-04 11:59:01,00:06:12,2015-05-04 10:20:41,92.7509765625,24.708984375,0,1
6,com.estrongs.android.pop,2015-05-04 11:59:01,00:00:00,2015-05-04 11:58:23,0.0,0.0,0,1
7,jp.co.ponos.battlecatsen,2015-05-04 11:59:01,00:54:34,2015-05-04 10:09:30,1169.904296875,1577.4189453125,0,1
8,com.pikpok.gbod,2015-05-04 11:59:01,00:07:27,2015-05-04 10:28:13,1397.5830078125,181.205078125,0,1
9,com.android.packageinstaller,2015-05-04 11:59:01,00:00:25,2015-05-04 11:58:39,0.0,0.0,0,1
10,com.google.android.feedback,2015-05-04 11:59:01,00:00:27,2015-05-04 08:10:49,10.6953125,219.626953125,0,1
11,com.android.settings,2015-05-04 11:59:01,00:01:05,2015-05-04 11:58:56,7.1591796875,7.107421875,0,1
12,com.epfl.appspy,2015-05-04 11:59:01,00:00:08,2015-05-04 11:59:01,0.0,0.0,1,1
13,com.upopa.hopeless,2015-05-04 11:59:01,00:00:01,2015-05-04 08:06:55,6.5009765625,3.951171875,0,1
14,com.android.systemui,2015-05-04 11:59:01,00:00:24,2015-05-04 11:58:43,0.0,0.0,0,1
15,com.supercell.boombeach,2015-05-04 11:59:01,00:10:28,2015-05-04 10:17:30,276.8974609375,31.8876953125,0,1
16,com.socialquantum.acityint,2015-05-04 11:59:01,00:06:28,2015-05-04 10:11:56,318.1875,69.458984375,0,1
17,com.google.android.youtube,2015-05-04 11:59:01,00:00:00,1970-01-01 01:00:00,0.0,0.0,0,1
18,com.google.android.gms,2015-05-04 11:59:01,00:00:00,1970-01-01 01:00:00,0.0,0.1328125,0,1
19,com.google.android.apps.docs,2015-05-04 11:59:01,00:00:00,1970-01-01 01:00:00,0.0,0.0,0,1
20,com.android.providers.downloads.ui,2015-05-04 11:59:01,00:00:00,1970-01-01 01:00:00,0.0,0.0,0,1
21,com.google.android.apps.plus,2015-05-04 11:59:01,00:00:00,1970-01-01 01:00:00,0.0,0.0,0,1
22,com.dropbox.android,2015-05-04 11:59:01,00:00:00,1970-01-01 01:00:00,0.0,0.0,0,1
23,ch.local.android,2015-05-04 11:59:01,00:00:00,1970-01-01 01:00:00,0.0,0.0,0,1
24,ch.admin.meteoswiss,2015-05-04 11:59:01,00:00:00,1970-01-01 01:00:00,0.625,0.330078125,0,1
25,com.google.android.apps.unveil,2015-05-04 11:59:01,00:00:00,1970-01-01 01:00:00,0.0,0.0,0,1
26,com.antivirus,2015-05-04 11:59:01,00:00:00,1970-01-01 01:00:00,0.0,0.0,0,1
27,com.battlelancer.seriesguide,2015-05-04 11:59:01,00:00:00,1970-01-01 01:00:00,0.0,0.0,0,1
28,com.june.think,2015-05-04 11:59:01,00:00:00,1970-01-01 01:00:00,0.0,0.0,0,1
29,com.estrongs.android.pop,2015-05-04 12:00:01,00:00:00,2015-05-04 11:58:23,0.59765625,0.0,0,0
30,com.epfl.appspy,2015-05-04 12:00:01,00:00:38,2015-05-04 11:59:31,0.0,0.0,1,0
31,com.android.systemui,2015-05-04 12:00:01,00:00:26,2015-05-04 11:59:34,0.0,0.0,1,0
