record_id,package_name,record_time,foreground_time_usage,last_time_use,downloaded_data_kb,uploaded_data_kb,was_foreground,boot
2,com.whatsapp,2015-05-04 11:59:01,00:13:39,2015-05-04 11:55:42,0.0771484375,0.2138671875,0,1
37,com.whatsapp,2015-05-04 12:01:01,00:13:42,2015-05-04 12:00:47,2.9970703125,2.9111328125,1,0
42,com.whatsapp,2015-05-04 12:02:02,00:13:42,2015-05-04 12:00:47,2.7099609375,2.5849609375,0,0
47,com.whatsapp,2015-05-04 12:03:01,00:13:42,2015-05-04 12:00:47,0.2109375,0.2119140625,0,0
50,com.whatsapp,2015-05-04 12:06:02,00:13:42,2015-05-04 12:00:47,0.384765625,0.3232421875,0,0
52,com.whatsapp,2015-05-04 12:07:01,00:13:42,2015-05-04 12:00:47,0.40234375,0.3740234375,0,0
60,com.whatsapp,2015-05-04 12:13:01,00:13:42,2015-05-04 12:00:47,0.068359375,0.1259765625,0,0
62,com.whatsapp,2015-05-04 12:15:02,00:13:42,2015-05-04 12:00:47,0.068359375,0.1259765625,0,0
63,com.whatsapp,2015-05-04 12:16:01,00:13:42,2015-05-04 12:00:47,0.111328125,0.224609375,0,0
121,com.whatsapp,2015-05-04 12:43:02,00:13:42,2015-05-04 12:42:44,1.6630859375,4.80078125,1,0
126,com.whatsapp,2015-05-04 12:44:01,00:13:42,2015-05-04 12:42:44,2.7763671875,6.6875,0,0
127,com.whatsapp,2015-05-04 12:45:01,00:14:37,2015-05-04 12:44:57,2.642578125,2.2509765625,1,0
130,com.whatsapp,2015-05-04 12:46:01,00:14:37,2015-05-04 12:44:57,0.158203125,0.15234375,0,0
134,com.whatsapp,2015-05-04 12:48:01,00:14:37,2015-05-04 12:44:57,0.068359375,0.1259765625,0,0
139,com.whatsapp,2015-05-04 12:52:02,00:14:37,2015-05-04 12:44:57,0.068359375,0.1259765625,0,0
140,com.whatsapp,2015-05-04 12:53:01,00:14:37,2015-05-04 12:44:57,1.4306640625,1.125,0,0
143,com.whatsapp,2015-05-04 12:54:01,00:14:37,2015-05-04 12:44:57,1.36328125,0.9580078125,0,0
144,com.whatsapp,2015-05-04 12:55:02,00:14:47,2015-05-04 12:54:40,0.158203125,0.15234375,1,0
145,com.whatsapp,2015-05-04 12:56:01,00:14:47,2015-05-04 12:54:40,0.068359375,0.1259765625,0,0
146,com.whatsapp,2015-05-04 12:57:02,00:14:47,2015-05-04 12:54:40,0.2333984375,0.3798828125,0,0
150,com.whatsapp,2015-05-04 12:58:01,00:14:47,2015-05-04 12:54:40,0.5517578125,0.6865234375,0,0
151,com.whatsapp,2015-05-04 12:59:01,00:14:52,2015-05-04 12:59:01,0.244140625,0.134765625,1,0
154,com.whatsapp,2015-05-04 13:00:02,00:14:56,2015-05-04 12:59:06,0.068359375,0.1259765625,1,0
157,com.whatsapp,2015-05-04 13:02:01,00:14:58,2015-05-04 13:01:13,0.0,0.0,1,0
159,com.whatsapp,2015-05-04 13:04:01,00:14:58,2015-05-04 13:01:13,0.1337890625,0.173828125,0,0
188,com.whatsapp,2015-05-04 13:35:01,00:14:58,2015-05-04 13:01:13,0.7373046875,0.80078125,0,0
202,com.whatsapp,2015-05-04 13:40:01,00:14:58,2015-05-04 13:01:13,0.068359375,0.1259765625,0,0
212,com.whatsapp,2015-05-04 13:44:01,00:14:58,2015-05-04 13:01:13,1.138671875,1.6513671875,0,0
214,com.whatsapp,2015-05-04 13:45:02,00:14:58,2015-05-04 13:01:13,4.6181640625,1.5029296875,0,0
218,com.whatsapp,2015-05-04 13:48:01,00:14:58,2015-05-04 13:01:13,0.119140625,0.1767578125,0,0
222,com.whatsapp,2015-05-04 13:49:01,00:14:58,2015-05-04 13:01:13,0.298828125,0.2724609375,0,0
224,com.whatsapp,2015-05-04 13:50:02,00:14:58,2015-05-04 13:01:13,0.865234375,0.6669921875,0,0
226,com.whatsapp,2015-05-04 13:52:01,00:14:58,2015-05-04 13:01:13,0.650390625,0.595703125,0,0
230,com.whatsapp,2015-05-04 13:58:01,00:14:58,2015-05-04 13:01:13,0.068359375,0.1259765625,0,0
234,com.whatsapp,2015-05-04 14:00:01,00:14:58,2015-05-04 13:01:13,0.650390625,0.595703125,0,0
236,com.whatsapp,2015-05-04 14:04:01,00:14:58,2015-05-04 13:01:13,0.068359375,0.1259765625,0,0
241,com.whatsapp,2015-05-04 14:08:01,00:14:58,2015-05-04 13:01:13,0.068359375,0.1259765625,0,0
242,com.whatsapp,2015-05-04 14:09:01,00:14:58,2015-05-04 13:01:13,0.68359375,0.5205078125,0,0
247,com.whatsapp,2015-05-04 14:12:01,00:14:58,2015-05-04 13:01:13,0.068359375,0.1259765625,0,0
249,com.whatsapp,2015-05-04 14:16:01,00:14:58,2015-05-04 13:01:13,0.068359375,0.1259765625,0,0
250,com.whatsapp,2015-05-04 14:18:03,00:14:58,2015-05-04 13:01:13,0.0771484375,0.2138671875,0,0
252,com.whatsapp,2015-05-04 14:19:01,00:14:58,2015-05-04 13:01:13,0.111328125,0.224609375,0,0
279,com.whatsapp,2015-05-04 14:45:01,00:14:58,2015-05-04 13:01:13,0.6064453125,0.6865234375,0,0
283,com.whatsapp,2015-05-04 14:46:01,00:14:58,2015-05-04 13:01:13,5.259765625,2.5390625,0,0
